min,max,mean,sd,max_median_distance,min_median_distance,proportion_above_mean,proportion_increasing,previous_L,previous_R,label,file_num,index,previous_B
27.547798535775254,603.2325676523014,408.3980018066016,160.6890246321482,150.053076038708,425.63169307781817,0.72,0.8,0,0,0,254,34,0
435.69319652631054,925.3630127483824,552.7700555309308,142.0666518216984,431.0054719170742,58.664344304997655,0.32,0.38,1,0,1,236,24,0
499.3169136550133,514.2923144207972,507.3679489846301,3.8673024985902287,6.900651426488253,8.074749339295636,0.52,0.52,0,0,0,127,3,0
480.2066515332902,562.5739962663164,506.7239945310515,17.906743786937973,61.51649474903115,20.850849983995037,0.28,0.44,0,0,0,418,9,0
24.209868355828245,509.81987728049535,425.6697292929009,159.7296372747722,6.149679609054715,479.4603293156124,0.78,0.44,0,0,0,132,9,0
22.072132340257383,488.0802667527244,406.726858171553,128.73758088888053,29.677049577931086,436.331084834536,0.8,0.7,0,0,0,416,28,0
469.9306285459923,602.3366115456281,507.002189811666,28.806113540918524,95.30908274300292,37.096900256632864,0.5,0.54,0,0,3,239,6,0
252.12208729466064,552.3967652092609,482.7938514904905,79.88085342967594,51.85370622363263,248.4209716909677,0.72,0.62,0,1,2,9,23,0
500.2155305080725,519.3025965072343,507.8598460245001,4.776197190387881,12.068905159923474,7.0181608392383055,0.46,0.48,0,0,0,323,1,0
539.0850401065054,635.5026702603691,590.1619443617049,33.693029476700204,42.18516761297019,54.23246254089349,0.52,0.26,0,1,0,209,53,0
442.12530157724666,775.2382256588224,529.825472421667,99.92346669190852,272.316631319861,60.79629276171477,0.32,0.38,1,0,1,29,22,0
495.5514982306691,934.8294637829846,594.7827532792538,144.52645362541674,425.1405502863495,14.137415265966013,0.3,0.46,0,0,0,261,11,0
460.6875170542204,506.6165889058681,489.59686229862814,13.844130626190047,10.672776449067726,35.25629540258001,0.62,0.52,0,0,0,247,27,0
384.7896481363738,1013.5935182985062,611.1814074687619,206.01601901996787,427.7906396937086,201.01323046842376,0.32,0.26,1,0,1,364,37,0
492.9250335969809,511.6010105915348,505.25311666314406,4.16360919988062,6.265600784460105,12.41037621009383,0.5,0.54,0,0,0,306,27,0
386.4338466203002,878.8158381687446,504.4363114712961,118.23063796376805,390.7076115799055,101.67437996853891,0.38,0.62,0,0,0,320,11,0
501.2477848708565,513.4689763785062,508.1771672674187,2.878314281387236,5.399218974279222,6.821972533370513,0.46,0.5,0,0,0,7,4,0
431.1696889382693,721.4664776792091,503.8046237931345,63.05790869648467,224.16490314004,66.1318856008998,0.38,0.68,0,0,3,135,13,1
479.16872551269626,511.63384833108086,503.476306641702,8.034755203440763,6.228007285621004,26.2371155327636,0.66,0.54,0,0,0,424,6,0
397.2818204942912,476.7031159314943,432.9112725477609,25.043325329131527,45.34610097306046,34.07519446414267,0.48,0.6,0,0,0,382,19,0
446.24691538373736,795.2558080860789,593.8595601879995,87.78468310937144,229.02969811121943,119.97919459112212,0.24,0.56,0,1,0,226,26,0
